id,nombre,edad,salario,fecha_ingreso,ciudad,activo,compras,segmento,notas,ultima_compra
63,Elena,36.0,54984.71017969387,2020-03-03,Barcelona,False,1.0,Estándar,,2024-03-10
64,Luis,49.0,38772.701951651696,2020-03-04,Barcelona,False,8.0,Premium,Alta,2024-03-17
65,Luis,30.0,73267.27963283785,2020-03-05,Barcelona,False,4.0,Premium,,2024-03-24
66,María,37.0,51735.11951439288,2020-03-06,,False,5.0,Premium,,2024-03-31
67,Ana,34.0,67689.45776095739,2020-03-07,Madrid,False,3.0,Premium,,2024-04-07
68,Elena,40.0,51012.777221151635,2020-03-08,Barcelona,False,7.0,Premium,,2024-04-14
69,Ana,67.0,80911.21887322981,2020-03-09,Barcelona,False,2.0,Básico,,2024-04-21
70,,17.0,76330.11263664806,2020-03-10,Valencia,False,5.0,Estándar,,2024-04-28
71,Elena,48.0,46265.5377728139,2020-03-11,Madrid,True,10.0,Básico,,2024-05-05
72,Ana,20.0,64573.56426431533,2020-03-12,Valencia,True,7.0,Premium,Alta,2024-05-12
73,Ana,34.0,59680.639243777216,2020-03-13,,True,7.0,Premium,Alta,2024-05-19
74,Elena,53.0,70529.47336298523,2020-03-14,Barcelona,True,10.0,Premium,,2024-05-26
75,Carlos,40.0,35526.14809129843,2020-03-15,Valencia,False,1.0,Premium,,2024-06-02
76,Carlos,27.0,60290.77189997659,2020-03-16,,True,5.0,Estándar,,2024-06-09
77,Elena,31.0,65876.36730274382,2020-03-17,Valencia,False,3.0,Premium,,2024-06-16
78,Ana,48.0,23618.907703653287,2020-03-18,Madrid,True,8.0,Estándar,,2024-06-23
79,Luis,31.0,32251.122310013372,2020-03-19,Barcelona,True,7.0,Premium,,2024-06-30
80,Ana,42.0,19411.51733359849,2020-03-20,Valencia,True,3.0,Estándar,,2024-07-07
81,Elena,40.0,45958.89748333163,2020-03-21,Barcelona,False,1.0,Básico,Alta,2024-07-14
82,Carlos,32.0,60763.133836939436,2020-03-22,Valencia,True,5.0,Premium,,2024-07-21
83,Luis,65.0,72535.35578144042,2020-03-23,,False,3.0,Estándar,,2024-07-28
84,Ana,47.0,51111.42170629663,2020-03-24,,False,6.0,Básico,,2024-08-04
85,Luis,15.0,74429.23318356938,2020-03-25,Barcelona,True,3.0,Premium,,2024-08-11
86,Luis,42.0,29298.47812677663,2020-03-26,Madrid,True,4.0,Premium,,2024-08-18
87,Carlos,32.0,24449.26340967268,2020-03-27,,True,5.0,Premium,,2024-08-25
88,Carlos,50.0,49166.78451655072,2020-03-28,Valencia,False,8.0,Estándar,,2024-09-01
89,Elena,30.0,55760.98173408961,2020-03-29,Madrid,True,7.0,Estándar,,2024-09-08
90,María,38.0,49509.578778588606,2020-03-30,,False,5.0,Básico,Alta,2024-09-15
91,Ana,46.0,18988.36849940185,2020-03-31,Valencia,False,4.0,Estándar,Alta,2024-09-22
92,Carlos,50.0,48663.19940730817,2020-04-01,Barcelona,True,6.0,Estándar,,2024-09-29
93,Elena,25.0,30432.957492427202,2020-04-02,Barcelona,True,8.0,Premium,,2024-10-06
94,María,35.0,60045.08823245058,2020-04-03,Barcelona,False,4.0,Premium,,2024-10-13
95,Elena,34.0,55498.973691452724,2020-04-04,Madrid,False,3.0,Premium,,2024-10-20
96,María,32.0,35901.80320508967,2020-04-05,Barcelona,False,2.0,Premium,,2024-10-27
97,María,61.0,42291.9962399496,2020-04-06,Valencia,True,3.0,Premium,,2024-11-03
98,María,44.0,34111.79717166573,2020-04-07,Madrid,False,9.0,Premium,,2024-11-10
99,Ana,24.0,49059.813540902425,2020-04-08,Barcelona,True,5.0,Premium,,2024-11-17
100,Ana,51.0,64327.134807518574,2020-04-09,Barcelona,False,4.0,Básico,,2024-11-24
101,Ana,65.0,35214.10930496684,2020-04-10,Barcelona,False,7.0,Básico,Alta,2024-12-01
102,Carlos,52.0,57560.697732767665,2020-04-11,,True,8.0,Básico,Alta,
103,Luis,21.0,42046.13572441339,2020-04-12,Barcelona,False,4.0,Básico,Alta,
104,María,34.0,38106.907516064835,2020-04-13,Barcelona,True,4.0,Premium,,
105,,55.0,48394.544600681635,2020-04-14,Valencia,True,8.0,Básico,Alta,
106,Luis,31.0,34471.365163709386,2020-04-15,Barcelona,False,5.0,Premium,,
107,María,45.0,41695.26041979227,2020-04-16,Madrid,True,5.0,Básico,Alta,
108,Elena,49.0,32031.831611167272,2020-04-17,Barcelona,True,6.0,Estándar,,
109,Luis,28.0,79470.87699374584,2020-04-18,Madrid,False,7.0,Básico,Alta,
110,Ana,39.0,50528.95327957593,2020-04-19,Madrid,True,2.0,Básico,,
111,Luis,1.0,39504.117380111216,2020-04-20,Barcelona,True,1.0,Premium,Alta,
112,Ana,27.0,53209.69866101333,2020-04-21,Barcelona,True,7.0,Básico,Alta,
113,,36.0,48315.07925463755,2020-04-22,,False,5.0,Estándar,,
114,Elena,25.0,46685.45600700165,2020-04-23,Barcelona,True,4.0,Premium,,
115,Carlos,59.0,59212.50050065138,2020-04-24,Barcelona,False,4.0,Premium,Alta,
116,Elena,22.0,61362.61565070957,2020-04-25,Valencia,False,3.0,Básico,,
117,Elena,34.0,42042.48278584209,2020-04-26,Madrid,True,8.0,Premium,Alta,
118,Ana,41.0,41362.7263903298,2020-04-27,Valencia,True,7.0,Premium,,
119,Elena,57.0,45874.22454272534,2020-04-28,Madrid,True,1.0,Premium,,
120,María,22.0,15471.18252896623,2020-04-29,,False,2.0,Premium,,
121,Elena,53.0,27272.134067021718,2020-04-30,Madrid,True,4.0,Premium,,
122,Elena,40.0,70503.11401166787,2020-05-01,Barcelona,True,6.0,Premium,Alta,
123,Luis,28.0,74674.51570251926,2020-05-02,Madrid,True,4.0,Estándar,,
124,Ana,45.0,46264.45940665432,2020-05-03,,True,6.0,Básico,,
125,Luis,42.0,58648.35444583649,2020-05-04,Barcelona,True,8.0,Estándar,,
126,María,32.0,54668.75231815304,2020-05-05,Barcelona,False,7.0,Premium,,
127,Elena,40.0,96183.21212682856,2020-05-06,Madrid,False,5.0,Premium,Alta,
128,Elena,35.0,66793.62367151865,2020-05-07,Valencia,True,2.0,Básico,Alta,
129,Ana,41.0,48081.2361277885,2020-05-08,Madrid,True,1.0,Estándar,,
130,María,47.0,35666.89339099362,2020-05-09,Valencia,True,7.0,Básico,Alta,
131,María,59.0,25903.30519613641,2020-05-10,Madrid,True,4.0,Estándar,Alta,
132,Luis,25.0,53051.954538008344,2020-05-11,Madrid,False,1.0,Premium,,
133,Ana,65.0,38654.73882073545,2020-05-12,Madrid,True,6.0,Básico,Alta,
134,Luis,16.0,28666.19435603489,2020-05-13,Barcelona,False,5.0,Básico,,
135,,38.0,40301.4067363621,2020-05-14,Barcelona,False,8.0,Premium,,
136,Luis,47.0,33776.779945784074,2020-05-15,Madrid,True,5.0,Básico,Alta,
137,María,43.0,75307.12452608848,2020-05-16,Valencia,False,4.0,Estándar,,
138,Carlos,32.0,63224.59635424176,2020-05-17,Barcelona,False,10.0,Estándar,Alta,
139,Luis,37.0,49880.41038025074,2020-05-18,Barcelona,False,7.0,Estándar,Alta,
140,,34.0,72199.16208335038,2020-05-19,Barcelona,False,4.0,Estándar,,
141,,32.0,51160.524614714275,2020-05-20,Barcelona,True,8.0,Premium,Alta,
142,Luis,50.0,37080.73698007604,2020-05-21,Barcelona,True,5.0,Básico,,
143,María,44.0,72846.86115904486,2020-05-22,Madrid,False,5.0,Estándar,,
144,Luis,31.0,58083.65065526988,2020-05-23,Madrid,True,5.0,Premium,,
145,Luis,50.0,34441.30768510315,2020-05-24,Valencia,True,2.0,Básico,Alta,
146,Ana,43.0,47144.91982874588,2020-05-25,,True,3.0,Básico,,
147,Carlos,49.0,36865.726199228644,2020-05-26,Barcelona,True,4.0,Premium,,
148,María,47.0,29258.00403553496,2020-05-27,Madrid,True,9.0,Premium,,
149,Ana,30.0,63892.66321297462,2020-05-28,Valencia,False,0.0,Estándar,Alta,
150,Luis,33.0,78641.24960705196,2020-05-29,Barcelona,True,5.0,Básico,,
151,,48.0,29021.486392712883,2020-05-30,Madrid,True,5.0,Básico,,
152,Luis,47.0,58444.538550358564,2020-05-31,Madrid,True,5.0,Premium,,
153,Ana,39.0,40240.361463172594,2020-06-01,Valencia,True,5.0,Básico,,
154,María,41.0,42693.11924352956,2020-06-02,Valencia,False,4.0,Estándar,Alta,
155,,55.0,41114.09113641696,2020-06-03,Madrid,False,9.0,Básico,,
156,Luis,32.0,37040.138454802756,2020-06-04,Madrid,False,6.0,Premium,,
157,Carlos,46.0,50727.82441917241,2020-06-05,Madrid,False,2.0,Premium,Alta,
158,Elena,37.0,37535.748253834434,2020-06-06,Valencia,True,6.0,Estándar,,
159,Luis,37.0,54056.85238669758,2020-06-07,Madrid,False,6.0,Estándar,Alta,
160,Carlos,53.0,49246.42835826294,2020-06-08,Madrid,True,6.0,Básico,,
161,Luis,49.0,46415.77929700386,2020-06-09,Valencia,True,5.0,Básico,Alta,
162,Carlos,49.0,36386.545069376036,2020-06-10,Madrid,True,2.0,Premium,,
163,Carlos,55.0,41348.43004147501,2020-06-11,Valencia,True,5.0,Estándar,,
164,María,40.0,61330.86838738634,2020-06-12,Madrid,True,3.0,Estándar,Alta,
165,Ana,48.0,57513.75781436571,2020-06-13,Madrid,False,3.0,Estándar,Alta,
166,Elena,36.0,35336.67132802174,2020-06-14,Madrid,False,3.0,Básico,Alta,
167,Luis,43.0,51489.98458143839,2020-06-15,Valencia,False,6.0,Estándar,,
168,Ana,38.0,61270.80685057683,2020-06-16,Valencia,False,6.0,Premium,Alta,
169,Ana,41.0,24958.920783179423,2020-06-17,Valencia,True,4.0,Premium,Alta,
170,María,47.0,58150.402885699026,2020-06-18,Barcelona,False,5.0,Básico,,
171,Carlos,30.0,40060.643615812296,2020-06-19,Valencia,True,5.0,Básico,Alta,
172,Ana,65.0,58558.98002889739,2020-06-20,Madrid,False,7.0,Estándar,Alta,
173,María,27.0,38551.11265186225,2020-06-21,Madrid,True,5.0,Básico,,
174,Luis,25.0,22926.768490032213,2020-06-22,Valencia,True,3.0,Premium,,
175,Carlos,53.0,25586.86343175256,2020-06-23,Madrid,False,4.0,Estándar,,
176,Ana,49.0,50721.27419992073,2020-06-24,Madrid,True,7.0,Premium,,
177,Carlos,47.0,53895.83752582223,2020-06-25,Madrid,True,5.0,Estándar,,
178,Luis,47.0,36435.25062343387,2020-06-26,Madrid,False,7.0,Básico,,
179,,39.0,59578.88688166061,2020-06-27,Madrid,True,8.0,Estándar,,
180,Ana,29.0,25077.1990659656,2020-06-28,Barcelona,False,7.0,Estándar,,
181,Luis,40.0,49008.80302029025,2020-06-29,Barcelona,False,5.0,Premium,,
182,Ana,31.0,31834.75700356315,2020-06-30,Valencia,False,8.0,Premium,Alta,
183,,51.0,40222.45838296761,2020-07-01,Valencia,True,4.0,Estándar,Alta,
184,Elena,38.0,50710.98006974621,2020-07-02,Barcelona,True,6.0,Básico,,
185,Luis,30.0,37093.799520740715,2020-07-03,Madrid,True,8.0,Básico,Alta,
186,Carlos,36.0,44231.66683655262,2020-07-04,Barcelona,False,6.0,Premium,,
187,Elena,44.0,65094.39213821661,2020-07-05,Barcelona,True,3.0,Básico,,
188,María,33.0,41346.62195715277,2020-07-06,Madrid,False,8.0,Premium,,
189,María,30.0,62535.38168097712,2020-07-07,Valencia,False,4.0,Básico,,
190,Luis,42.0,33054.397180135726,2020-07-08,Barcelona,True,7.0,Estándar,Alta,
191,Ana,42.0,57947.06266872924,2020-07-09,Barcelona,False,2.0,Premium,Alta,
192,Elena,33.0,71623.5293098685,2020-07-10,Barcelona,True,10.0,Premium,,
193,,34.0,12925.332498090662,2020-07-11,Madrid,True,6.0,Estándar,,
194,Carlos,42.0,38046.57116794285,2020-07-12,,True,4.0,Premium,,
195,Luis,22.0,58656.081907708096,2020-07-13,Valencia,True,5.0,Básico,,
196,Luis,23.0,46954.31920935511,2020-07-14,Madrid,True,6.0,Básico,,
197,Carlos,31.0,55567.188100569634,2020-07-15,Valencia,False,4.0,Premium,,
198,Elena,37.0,40940.22219926269,2020-07-16,Barcelona,False,5.0,Básico,Alta,
199,Elena,43.0,51298.8468120935,2020-07-17,Valencia,False,6.0,Premium,Alta,
200,Elena,57.0,47664.84146911881,2020-07-18,Valencia,True,3.0,Estándar,,
61,Luis,51.0,26988.287438965664,2020-03-01,Madrid,False,4.0,Básico,Alta,
62,Luis,47.0,69165.15232847763,2020-03-02,,True,7.0,Básico,,
63,Elena,36.0,54984.71017969387,2020-03-03,Barcelona,False,1.0,Estándar,,
64,Luis,49.0,38772.701951651696,2020-03-04,Barcelona,False,8.0,Premium,,
65,Luis,30.0,73267.27963283785,2020-03-05,Barcelona,False,4.0,Premium,,
